phase,vec,dx,sigma,dhmix,dsmix
0,7.0,0.12,6.35,-22.58,16.01
0,4.38,0.20,6.35,-48.64,13.25
1,7.0,0.11,6.56,-21.22,13.21
1,5.50,0.36,2.31,-6.50,11.53
1,5.40,0.34,315,-4.64,13.38
1,8.80,0.09,1.03,3.20,13.38
0,7.50,0.29,11.25,-23.00,5.76
0,7.50,0.16,6.84,-30.00,5.76
0,9.20,0.16,9.29,-23.68,13.38
1,8.47,0.10,3.42,0.16,14.43
1,8.27,0.11,4.17,-1.52,14.70
0,4.20,0.26,15.25,-13.12,13.38
1,8.00,0.12,4.92,-3.61,14.87
0,5.33,0.35,18.14,-13.11,14.90
1,7.83,0.12,5.28,-4.78,14.90
0,4.11,0.26,15.63,-12.15,14.53
0,4.40,0.30,13.74,-37.60,13.38
1,7.46,0.12,5.89,-7.05,14.78
1,7.14,0.13,6.26,-8.65,14.53
0,4.40,0.11,7.84,-20.00,13.38
0,6.80,0.22,9.24,-21.28,13.38
0,4.00,0.11,4.57,0.00,5.76
1,6.97,0.13,6.40,-9.38,14.35
0,6.50,0.30,11.22,-3.00,5.76
0,7.00,0.24,12.50,-49.00,5.76
0,6.00,0.30,12.47,-4.00,5.76
0,6.60,0.27,10.32,-27.36,13.38
0,6.20,0.25,10.42,-15.84,13.38
1,6.72,0.13,6.57,-10.28,14.01
1,6.63,0.13,6.61,-10.56,13.86
0,6.40,0.26,10.23,-23.52,13.38
1,8.77,0.10,2.94,0.12,12.01
0,7.00,0.14,6.9,-17.18,16.01
1,8.56,0.11,3.86,-1.70,12.45
0,7.55,0.12,5.51,-7.93,14.70
1,8.36,0.12,4.49,-3.27,12.72
0,4.60,0.23,8.68,-34.08,13.38
0,4.67,0.26,9.09,-16.11,14.90
1,8.17,0.12,4.96,-4.61,12.88
0,4.50,0.24,8.64,-32.19,17.29
1,8.00,0.12,5.32,-5.78,12.98
1,7.84,0.13,5.60,-6.78,13.02
1,8.14,0.13,5.70,-6.75,14.87
1,8.00,0.14,6.12,-8.44,14.90
1,7.73,0.14,6.26,-10.11,16.00
1,7.73,0.12,5.45,-4.50,14.70
1,7.62,0.14,6.54,-11.60,16.01
1,7.51,0.14,6.76,-12.89,15.97
1,8.00,0.12,5.44,-4.50,14.70
1,7.41,0.15,6.94,-14.02,15.91
1,7.31,0.15,7.09,-15.01,15.82
1,7.22,0.15,7.21,-15.86,15.72
1,7.13,0.15,7.31,-16.60,15.60
1,7.95,0.12,4.09,-4.07,15.92
1,7.55,0.12,5.51,-7.93,14.70
1,7.86,0.12,4.07,-4.71,16.00
1,7.77,0.12,4.04,-5.25,16.01
1,7.82,0.12,5.40,-5.55,14.70
1,6.00,0.24,9.42,-34.11,14.90
1,6.46,0.15,7.50,-23.91,14.78
1,7.64,0.12,5.43,-3.90,14.70
1,8.56,0.09,0.84,0.49,13.15
1,8.00,0.11,4.37,-4.60,14.53
1,7.55,0.12,5.51,-7.93,14.70
1,7.17,0.13,6.12,-10.14,14.53
1,6.85,0.13,6.46,-11.60,14.23
1,7.22,0.12,5.92,-7.70,13.15
1,7.40,0.12,5.71,-7.92,14.53
1,7.55,0.12,5.51,-7.93,14.70
1,7.67,0.12,5.33,-7.83,14.53
1,7.77,0.12,5.17,-7.67,14.23
1,7.93,0.11,4.88,-7.25,13.48
1,8.00,0.11,4.75,-7.03,13.09
